Model,PMSE (MSE),MAE,MAPE (%),R2 (Optional)
XGBoost,1.5316765831858088,0.6721793544585174,10.76662707091695,0.1612075795155401
LightGBM,1.533657505731208,0.685386087816698,11.046544960139364,0.1601227664192978
GradientBoosting,1.5559205707454733,0.6858613037698648,11.045121497065464,0.14793083870053803
RandomForest,1.5610260699147105,0.6826266042196502,10.984301777598208,0.1451349129463957
Ridge,1.5703699299058473,0.6896360269507091,11.085074747815678,0.14001793262256534
ElasticNet,1.5769926935646377,0.6873666460947925,11.028626530193,0.13639110694628653
Lasso,1.5771693389136903,0.6872291909106972,11.025517956414257,0.13629437061074035
ExtraTrees,1.5865055395939203,0.6773216646554095,10.82678346064314,0.1311815847572083
SVR,1.589705196971974,0.661152301690618,10.406897130494828,0.12942935560758173
MLP_NeuralNet,1.7427481185016263,0.7882235608564732,13.14180127634818,0.04561842319725218
