特征名称,相关性绝对值,随机森林重要性,Lasso系数绝对值,相关性_Score,随机森林_Score,Lasso_Score,综合总分
年龄,0.33540218457676285,0.07950211080152614,0.33600791064651514,100.00000000000001,100.0,100.0,300.0
甘油三酯,0.25555809681661107,0.05876651987819167,0.22610407092447662,76.10728235492122,72.17750614846788,67.29129397264136,215.57608247603048
尿酸,0.16250864975125368,0.04556263345054484,0.23632236308512183,48.26296440815352,54.460863767366334,70.3323807556829,173.05620893120278
*r-谷氨酰基转换酶,0.24939052532160141,0.042540727278963984,0.03873034042049527,74.26168491095311,50.40614614732973,11.52661565198687,136.19444671026972
红细胞平均体积,0.0219294760141599,0.05824774584371989,0.189734283407974,6.195748173325927,71.48142820992295,56.46720728774062,134.1443836709895
尿素,0.17184294494965824,0.04220069013005496,0.10049041926254722,51.056179107546704,49.949892861865486,29.907158753849842,130.91323072326202
*丙氨酸氨基转换酶,0.20912398011927832,0.029700098446410323,0.11105936306908028,62.21223676706615,33.17691366177297,33.05260368882095,128.44175411766008
*天门冬氨酸氨基转换酶,0.1697524136407871,0.04955445411577549,0.022613240087133883,50.43060399369359,59.81698823593965,6.729972530594173,116.9775647602274
红细胞平均血红蛋白浓度,0.15184137441383133,0.028087871958497667,0.11279083695361261,45.07086584670507,31.01366875049586,33.56791116512435,109.65244576232527
*碱性磷酸酶,0.1648707896984763,0.03295853184113422,0.06477793344148532,48.96981627884792,37.548997554897625,19.278692967926155,105.79750680167172
低密度脂蛋白胆固醇,0.2168025721281299,0.023711436136853104,0.05130658629477777,64.509995260223,25.141477348306,15.269457851768554,104.92093046029754
性别,0.1983664284079135,0.004973957308223757,0.15158866824516617,58.99312370807458,0.0,45.114612912979744,104.10773662105433
红细胞体积分布宽度,0.09164534194091084,0.027310995029919422,0.12690916292151233,27.057674794289085,29.97127484676382,37.76969496858735,94.79864460964026
白细胞计数,0.08634347206816563,0.03547812921050765,0.07658604232333485,25.471131777591587,40.92972987050486,22.79292834980436,89.19378999790081
肌酐,0.18033737806124214,0.0295502764846982,0.0,53.598071658185525,32.97588632553877,0.0,86.57395798372428
血红蛋白,0.19449537906164024,0.019086579255889434,0.0,57.834742522751135,18.93596082309209,0.0,76.77070334584323
红细胞计数,0.1494442236314523,0.028725331121398655,0.0,44.35353725791698,31.86899540629215,0.0,76.22253266420913
红细胞压积,0.17258043994366992,0.02145329777482806,0.004902541851370485,51.27686870587378,22.111564146138747,1.459055485312078,74.8474883373246
总胆固醇,0.18417477316382194,0.0189588960885969,0.0,54.74638207478102,18.764638763832956,0.0,73.51102083861397
高密度脂蛋白胆固醇,0.10092391408740894,0.03019586816077481,0.006369704541465757,29.83421480701639,33.84212498276597,1.8957007676425726,65.57204055742493
红细胞平均血红蛋白量,0.09871408421897554,0.024564826870404954,0.0,29.17294053397633,26.286535549202583,0.0,55.45947608317891
血小板计数,0.07898807252799175,0.018742848904381257,0.03153188226662504,23.270086098316828,18.474752091362184,9.384267830466944,51.12910602014596
*总蛋白,0.05827343275171687,0.022306987384595477,0.0347919755147577,17.071392454514427,23.25702337161672,10.354510835121177,50.682926661252324
白蛋白,0.05384178808810403,0.028264353389895622,0.0,15.745257513013273,31.25046709196264,0.0,46.99572460497591
嗜酸细胞%,0.03983468220493379,0.02338026085351299,0.019615829903784746,11.553740829941683,24.697114690951455,5.837907168924026,42.088762689817166
血小板体积分布宽度,0.016846231104480688,0.019974775135479253,0.05510403153556763,4.674626963793324,20.127719692671004,16.399623279565525,41.201969936029855
中性粒细胞%,0.017705696830112225,0.022124467181660213,0.04331035068395159,4.931815347857818,23.012122358536253,12.889681853209302,40.83361955960337
*球蛋白,0.026538810574953088,0.02081388251011362,0.03572503718174909,7.5750554242717865,21.25361284217695,10.632201221992155,39.46086948844089
嗜碱细胞%,0.038811968547221014,0.020202320872967108,0.023572683998764617,11.24770178132859,20.433034834429215,7.01551459113217,38.696251206889976
血小板比积,0.08269414682359227,0.01512221980569536,0.0,24.37909979238598,13.616683121477841,0.0,37.99578291386382
淋巴细胞%,0.027229186936041223,0.018380323781225255,0.007102222734059336,7.781645140893835,17.988325008221608,2.1137070018363255,27.88367715095177
血小板平均体积,0.013223281382169529,0.021049870339670936,0.0031339238564398473,3.590487646959672,21.57025537053172,0.9326934745107169,26.09343649200211
单核细胞%,0.006968742907087796,0.02087856030429705,0.0,1.7188660156334479,21.340395878052433,0.0,23.059261893685882
白球比例,0.0012246793376408435,0.017628152349591763,0.0,0.0,16.979080318292336,0.0,16.979080318292336
