iter	MultiClass
0	1.09444483611	1.0899376
2	1.086172334
3	1.081823122
4	1.07798383255	1.07544009266	1.07200948777	1.0682404888	1.06470848299	1.061321777110	1.058308576111	1.055316348112	1.052596411313	1.049027549
14	1.046088689
15	1.043690879
16	1.040953775
17	1.038417877
18	1.035060781
19	1.031554609
20	1.028527017
21	1.025717142
22	1.023150832
23	1.020537078
24	1.017818827
25	1.015490298
26	1.012975139
27	1.010947377
28	1.008176944
29	1.005400978
30	1.003721875
31	1.001285441
32	0.9989487917
33	0.9967268304
34	0.9947513769
35	0.9916124322
36	0.9892569381
37	0.9881838	0.938	0.9856939	0.39	0.98300240	040	0.980711941	041	0.978576542	042	0.97623243	0.43	0.97498244	0.44	0.97286245	0.45	0.97054046	0.9740063433
47	0.9719458253
48	0.9705496888
49	0.9688336983
50	0.9662993775
51	0.9641539479
52	0.9627309902
53	0.9616718559
54	0.9601044352
55	0.9588046331
56	0.9578299436
57	0.9559758088
58	0.9541597446
59	0.9525091068
60	0.9500757736
61	0.9482737317
62	0.946303222
63	0.9449654845
64	0.9435068276
65	0.9425412823
66	0.9410762791
67	0.940361901
68	0.9387524394
69	0.93690331
70	0.9349982439
71	0.933774507
72	0.9324165325
73	0.9309471513
74	0.9297117019
75	0.9280101354
76	0.9267170572
77	0.9253649459
78	0.9240797378
79	0.9230652646
80	0.9222498461
81	0.9209262305
82	0.9194895109
83	0.9183904954
84	0.9167844691
85	0.9158445124
86	0.9148444381
87	0.9136594318
88	0.9123071443
89	0.9107038707
90	0.9098558384
91	0.9086830012
92	0.9077366599
93	0.9067127942
94	0.9056404728
95	0.9041622059
96	0.9025637044
97	0.9016955538
98	0.9004804687
99	0.8993068542
100	0.8986639712
101	0.8976178614
102	0.8963515339
103	0.8951873167
104	0.8940388253
105	0.8924389803
106	0.8916196158
107	0.8906327339
108	0.8894198229
109	0.8884477765
110	0.8869684409
111	0.88531293
112	0.8841904666
113	0.8831155229
114	0.8819334407
115	0.8808151546
116	0.8794846142
117	0.8785434294
118	0.8769197664
119	0.8756793155
120	0.8746363125
121	0.8740524532
122	0.8725289965
123	0.871476492
124	0.8705068405
125	0.8693265943
1126	0.86364901071127	0.86286773121128	0.8620398241
129	0.86116704613130	0.8598808671
131	0.8588477924
132	0.8577179338
133	0.8566732688
134	0.8560901847
135	0.8551585463
136	0.8541725683
137	0.8529116865
138	0.8522579281
139	0.8514148644
140	0.8503746095
141	0.8490498841
142	0.8477039276
143	0.8469617623
144	0.8461260433
145	0.8454118069
146	0.8441736454
147	0.8430287066
148	0.8422286498
149	0.8414214697
150	0.840564214
151	0.8397513135
152	0.8385999177
153	0.837595279
154	0.8370841475
155	0.8360782878
156	0.8353289802
157	0.834075885
158	0.8331524631
159	0.832194702
160	0.8313381751
161	0.8304205379
162	0.8300020994
163	0.8291334121
164	0.8284092722
165	0.827366312
166	0.8265084849
167	0.825575866
168	0.8247511974
169	0.8243195
170	0.8235097294
171	0.8222015965
172	0.8213141478
173	0.8203962504
174	0.8198971041
175	0.8192956978
176	0.8183229437
177	0.8171737737
178	0.8165028663
179	0.8156502395
180	0.8149629812
181	0.8142082683
182	0.8132163406
183	0.8125861232
184	0.8122821805
185	0.8112756656
186	0.8102569975
187	0.8096722951
188	0.8091775602
189	0.8084125883
190	0.8074790229
191	0.8068717775
192	0.8058308001
193	0.805230147
194	0.8045133788
195	0.8040202613
196	0.8032384634
197	0.8025549764
198	0.8022203562
199	0.8013919622
200	0.800702429
201	0.799930456
202	0.7990750712
203	0.7982227694
204	0.7977328225
205	0.7971347717
206	0.7961855796
207	0.7956922188
208	0.7952719274
209	0.7945497038
210	0.7939065307
211	0.7931445388
212	0.7925399194
213	0.7915667997
