,Pearson,VIF,Lasso,RF,S_Pearson,S_VIF,S_Lasso,S_RF,综合得分
年龄,0.25076546006866873,1.4067614091715093,0.3401793683465651,0.12537417804297468,100.0,80.8802070878527,100.0,99.00527696028757,95.87762450565681
甘油三酯,0.2300797543815782,1.4358524687350862,0.21087980674599777,0.12653367833529838,85.33851432584623,78.93462897285144,61.990769096601824,100.0,81.45185938872008
尿素,0.1494329676927307,1.2595989407529582,0.09631892392838481,0.08135102368227733,28.17818701620159,92.09944366424945,28.314158026849476,61.23827835467015,50.9212570505461
*碱性磷酸酶,0.15883372569494145,1.1731749378988159,0.08407571119499532,0.06944142640086728,34.841197737736465,100.00000000000001,24.7151117963572,51.02116078432999,49.689121321753454
红细胞计数,0.12424082214859146,5.5567668613350785,0.28795483322728166,0.059275825097506604,10.322654960212816,9.162286919308793,84.647941651159,42.30019892176882,41.981430547782665
*r-谷氨酰基转换酶,0.14236799392921232,1.797325884027812,0.0012340137310704567,0.0696230124669867,23.170718903245657,60.012945054327865,0.3627538427942751,51.17694155028197,32.098641409437576
*天门冬氨酸氨基转换酶,0.1096767181306218,3.8593237856472866,0.05964385313498057,0.09782872059262336,0.0,19.85493885501222,17.53306011028191,75.37432029155619,31.843201891553875
肌酐,0.11375526549059375,2.043412866447368,0.08141289049312372,0.06257087283921592,2.8907674020956904,50.96131789666598,23.932342190189082,45.12698553608009,31.488215377633086
*丙氨酸氨基转换酶,0.12245026183134704,4.466696223852586,0.10027934729615515,0.05986640996536822,9.05355276775677,15.095224840517995,29.47837424225957,42.806855434800084,26.51532442477285
性别,0.14210282415994566,3.117306820187695,0.14338172101620408,0.009968539494349015,22.98277352530536,28.186877453441582,42.14885861923609,0.0,22.878587781520217
低密度脂蛋白胆固醇,0.15764689633923623,8.917635513473648,0.0,0.042566367099028744,34.000004216976066,0.0,0.0,27.96533159811937,15.189600322831025
总胆固醇,0.14230812139598178,8.657288518550715,0.0265425707455845,0.04017271043043474,23.128282821948105,0.45555989218208737,7.802522203093657,25.91183885372338,14.83107685987115
